WorkRef,VISTAPublisher,PublicationDate,WorkAlert,ExcludedFromConfirmation,ConfirmationRestrictionAdded,ConfirmationNotes,WorkStatus,Imprint,CommissioningEditor,ISBN,ProductType,EditionTarget,Binding,Format,EditionVISTAProdType,EditionPriceSynchronisationTemplate,EditionExtent,EditionEmbargoedUntil
16367,Presch Brand&Cl,3/1/2025,,No,No,,Acquired,Campbell Books,Campbell Books Editor,9780230754027,Book,Main Market Ed.,Paperback,250 x 250,Paperback,,24,
C103199102540,Tor,3/1/2025,,No,No,,Acquired,Tor,Tor Editor,9780230767850,EBook,Ebook,,,Dig Ed Adobe,On Demand,552,
C103737131331,Picador,3/1/2025,,No,No,,Acquired,Picador,Picador Editor,9780330544481,Book,Main Market Ed.,Paperback,B Format,Paperback,,256,
C103044102537,Picador,3/1/2025,,No,No,,Acquired,Picador,Picador Editor,9781447216209,EBook,Ebook,,,Dig Ed Adobe,Fiction Low,256,
14148,Fic Non Fic Pic,3/1/2025,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447217763,EBook,Ebook,,epub,Dig Ed Adobe,MCB High,224,
C103279121959,Tor,3/1/2025,,No,No,,Acquired,Tor,Tor Editor,9780230769458,EBook,Ebook,,epub,Dig Ed Adobe,On Demand,400,
17329,Presch Brand&Cl,3/1/2025,,No,No,,Acquired,Campbell Books,Campbell Books Editor,9780230758988,Board Book,Main Market Ed.,Board Book,180 x 180,Hardback,,12,
18516,Fic Non Fic Pic,3/1/2025,,No,No,,No Head Contract Required,Macmillan Children's Books,Macmillan Children's Books Editor,9781447219682,EBook Bundle,Ebook,,epub,Online,,725,
C103594115817,Fic Non Fic Pic,3/1/2025,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9780230766358,EBook,Ebook,,epub,Dig Ed Adobe,MCB High,256,
C102632171403,Fic Non Fic Pic,3/1/2025,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447223771,EBook,Ebook,,"EPUB, Fixed",Dig Ed Adobe,MCB High,32,
C102291172432,Fic Non Fic Pic,3/1/2025,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447223757,EBook,Ebook,,"EPUB, Fixed",Dig Ed Adobe,MCB High,32,
C103121105525,Fic Non Fic Pic,3/1/2025,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447220275,EBook,Ebook,,,Dig Ed Adobe,MCB High,208,
C103213151847,Gen Non-Fiction,17/1/2025,,No,No,,Acquired,Pan,Pan Editor,9781447225997,Book,Main Market Ed.,Paperback,B Format,Paperback,,560,
18822,Tor,17/1/2025,,No,No,,Acquired,Tor,Tor Editor,9780230767621,EBook,Ebook,,epub,Dig Ed Adobe,On Demand,544,
18821,Tor,17/1/2025,,No,No,,Acquired,Tor,Tor Editor,9780230767614,EBook,Ebook,,epub,Dig Ed Adobe,,528,
C103213164006,Gen Non-Fiction,17/1/2025,,No,No,,Acquired,Pan,Pan Editor,9781447226086,Book,Main Market Ed.,Paperback,B Format,Paperback,,448,
18820,Tor,17/1/2025,,No,No,,Acquired,Tor,Tor Editor,9780230767591,EBook,Ebook,,epub,Dig Ed Adobe,On Demand,576,
C103213155525,Gen Non-Fiction,17/1/2025,,Yes,No,,Acquired,Pan,Pan Editor,9781447226017,Book,Main Market Ed.,Paperback,,Paperback,,496,
C103003153715,Mantle,17/1/2025,,No,No,,Acquired,Mantle,Mantle Editor,9780230764644,EBook,Ebook,,epub,Dig Ed Adobe,Fiction Low,256,
C103370122814,Mantle,17/1/2025,,No,No,,Acquired,Mantle,Mantle Editor,9780230771451,EBook,Ebook,,epub,Dig Ed Adobe,Fiction Low,240,
C103213165759,Gen Non-Fiction,17/1/2025,,Yes,No,,Acquired,Pan,Pan Editor,9781447226093,Book,Main Market Ed.,Paperback,B Format,Paperback,,432,
18823,Tor,17/1/2025,,No,No,,Acquired,Tor,Tor Editor,9780230767638,EBook,Ebook,,epub,Dig Ed Adobe,On Demand,640,
C103213162454,Gen Non-Fiction,17/1/2025,,No,No,,Acquired,Pan,Pan Editor,9781447226062,Book,Main Market Ed.,Paperback,B Format,Paperback,,592,
C103172104341,Bluebird,17/1/2025,,No,No,,Acquired,Macmillan,Macmillan Editor,9781447224570,Book,Air Iri OME,Trade Paperback,Demy,Paperback,,304,
C103172104341,Bluebird,17/1/2025,,No,No,,Acquired,Bluebird,Bluebird Editor,9780230771611,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction Low,304,
C103775120435,Fic Non Fic Pic,31/1/2025,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447236559,EBook,Ebook,,epub,Dig Ed Adobe,MCB High,128,
C102464162915,Mantle,31/1/2025,,No,No,,Acquired,Pan,Pan Editor,9780330526616,Book,Main Market Ed.,Paperback,B Format,Paperback,,448,
C102464165516,Mantle,31/1/2025,,No,No,,Acquired,Macmillan Digital Audio,Macmillan Digital Audio Editor,9780230769717,Audio Digital Download,Main Market Ed.,,MP3 Format,Audio Download,,,
C101577135857,Mantle,31/1/2025,,No,No,,Acquired,Pan,Pan Editor,9780330458375,Book,Main Market Ed.,Paperback,B Format,Paperback,,448,
C102708174400,Mantle,31/1/2025,,No,No,,Acquired,Picador,Picador Editor,9780330544849,Book,Main Market Ed.,Paperback,B Format,Paperback,,352,
C103144163822,Picador,31/1/2025,,No,No,,Acquired,Picador,Picador Editor,9781447222514,EBook,Ebook,,epub,Dig Ed Adobe,On Demand,256,
C102464165516,Mantle,31/1/2025,,No,No,,Acquired,Mantle,Mantle Editor,9780230761247,EBook,Ebook,,epub,Dig Ed Adobe,Fiction Low,320,
C103737131811,Fic Non Fic Pic,31/1/2025,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447217756,EBook,Ebook,,epub,Dig Ed Adobe,MCB High,256,
C102464162915,Mantle,31/1/2025,,No,No,,Acquired,Macmillan Digital Audio,Macmillan Digital Audio Editor,9780230769632,Audio Digital Download,Main Market Ed.,,MP3 Format,Audio Download,,,
C103012133402,Mantle,1/2/2025,,No,No,,Acquired,Pan,Pan Editor,9781447227410,EBook,Ebook,,epub,Dig Ed Adobe,£0.99 fixed,128,
C103080111330,Gen Non-Fiction,7/2/2025,,No,No,,Acquired,Pan,Pan Editor,9781447218791,EBook,Ebook,,epub,Dig Ed Adobe,On Demand,320,
C103199103749,Tor,14/2/2025,,No,No,,Acquired,Tor,Tor Editor,9780230767874,EBook,Ebook,,epub,Dig Ed Adobe,Fiction High,368,
1351,Tor,14/2/2025,,No,No,,Acquired,Tor,Tor Editor,9780230767690,EBook,Ebook,,epub,Dig Ed Adobe,,832,
C103044102537,Picador,14/2/2025,,No,No,,Acquired,Macmillan Digital Audio,Macmillan Digital Audio Editor,9780230772601,Audio Digital Download,Main Market Ed.,,,Audio Download,,,
1538,Tor,14/2/2025,,No,No,,Acquired,Tor,Tor Editor,9780230767713,EBook,Ebook,,epub,Dig Ed Adobe,,500,
1252,Tor,14/2/2025,,No,No,,Acquired,Tor,Tor Editor,9780230767706,EBook,Ebook,,,Dig Ed Adobe,On Demand,592,
57359,Bluebird,14/2/2025,,No,No,,Acquired,Bluebird,Bluebird Editor,9780230771628,EBook,Ebook,,epub,Dig Ed Adobe,On Demand,272,
C102761122407,Picador,14/2/2025,,No,No,,Acquired,Picador,Picador Editor,9781447200376,Book,Main Market Ed.,Paperback,B Format,Paperback,,192,
C102591170839,Picador,14/2/2025,,No,No,,Acquired,Picador,Picador Editor,9781447204527,EBook,Ebook,,,Dig Ed Adobe,Non-Fiction High,304,
C100862145345,Picador,14/2/2025,,No,No,,Acquired,Picador,Picador Editor,9781447242277,EBook,Ebook,,epub,Dig Ed Adobe,Fiction High,256,
1351,Tor,14/2/2025,,No,No,,Acquired,Tor,Tor Editor,9780230767676,Book,Main Market Ed.,Paperback,B Format,Paperback,,832,
1540,Tor,14/2/2025,,No,No,,Acquired,Tor,Tor Editor,9780230767720,EBook,Ebook,,epub,Dig Ed Adobe,On Demand,576,
C103775120709,Fic Non Fic Pic,14/2/2025,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447236573,EBook,Ebook,,epub,Dig Ed Adobe,MCB High,128,
C102509153519,Mantle,14/2/2025,,No,No,,Acquired,Mantle,Mantle Editor,9780230761193,EBook,Ebook,,,Dig Ed Adobe,On Demand,288,
C102761115756,Picador,14/2/2025,,No,No,,Acquired,Picador,Picador Editor,9781447200369,Book,Main Market Ed.,Paperback,B Format,Paperback,,192,
C103222140037,Picador,14/2/2025,,No,No,,Acquired,Picador,Picador Editor,9781447227106,Book,Main Market Ed.,Hardback,Royal,Hardback,,496,
